zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url
391760,Basic Materials,329,"20 Microns Limited engages in the industrial micronized minerals and specialty chemicals businesses in India. The company offers industrial minerals, such as ground calcium carbonate, dolomite, hydrous and calcined kaolins, talcs, natural barytes, silica/quartz, muscovite mica, feldspar/nepheline syenite, and natural and synthetic red oxide for applications in paints and coatings, inks and pigments, plastics and polymer, paper, rubber, cosmetics, ceramics, adhesive and sealant, oil-well drilling, agrochemicals, foundry, and other industries. It also provides functional additives and specialties, including white/buff and colored rutile TiO2, white pigment opacifiers, synthetic barium sulphate, micronized wax, anti-blocking additives, rheological additives, matting agents, inorganic thickeners, flame retardants, calcium oxide desiccant, activators for rubber, high aspect ratio talc, sub-micron CaCO3, decorative, and colored quartz sand; erueca mide, olea mide, and processing aids; and fumed, precipitated, and amorphous silica for applications in plastics and polymer, rubber, paints and coatings, inks and pigments, paper, cosmetics, foundry coating, and adhesive and sealant industries. The company also exports its products. 20 Microns Limited was founded in 1987 and is headquartered in Vadodara, India.",Vadodara,91 26 5232 1534,India,[],https://www.20microns.com,1,"347, GIDC Industrial Estate",Other Industrial Metals & Mining,Waghodia,0.12376001,0.055159997,0.47859,,0.075,0.105749995,719963008,110,buy,2289282000,,110,90,2.087,,,1,110,52.643,,110,123286000,1190615040,5817303040,5.234,INR,165.013,,2,NSI,20 MICRONS LTD,20 Microns Limited,Asia/Kolkata,IST,False,19800000,EQUITY,20MICRONS.NS,finmb_137821,in_market,,0.547,,4.422,1.5462306,,,,35286500,,,,63.834,,,,1617148800,0,320913984,9.103,0.6,0.05508423,1.409907,0.121309996,1680220800,,1640908800,,,11015665,0.519751,3183625728,2,,1359331200,2:1,,1584576000,,1.059,0.5459205,,,,,,,,0,,,90.3,90.7,67.6365,0,0,,92.4,,357530,90.3,78.341,0,90.7,,357530,,,,1584576000,,,89.25,INR,9.88685,175093,,,,3175784960,,,323975,89.25,89.5,0,175093,108.25,,,34.05,0,False,,0,92.4,90,,https://logo.clearbit.com/20microns.com
400015,Financial Services,10,"Twentyfirst Century Management Services Limited invests in capital and debt instruments in India. It invests and trades in shares and derivatives in the capital, and futures and options markets. The company was incorporated in 1986 and is based in Mumbai, India.",Mumbai,91 22 2419 1106,India,[],https://www.tcms.bz,1,"2B, Grease House",Capital Markets,1st Floor Zakaria Bunder Road Sewri West,0.09011,0.089899994,0.15559,,,0.08976,243228496,,none,72556000,,,30.75,,,,,,,,,122287000,0,2699094016,11.646,INR,256.947,,,NSI,21ST CENTURY MANAG,Twentyfirst Century Management Services Limited,Asia/Kolkata,IST,False,19800000,EQUITY,21STCENMGM.NS,finmb_20406442,in_market,,0.074,,0.82,1.5435684,,,,10500000,,,,60.19,,,,1617148800,0,242642000,23.095,2.5,0.05508423,0.5108822,0.71602,1680220800,,1640908800,,,3067773,0.530847,199547776,2,,,,,1530662400,,,0.119623475,,,,,,,,0,,,30.55,30.9,39.78775,0,0,,30.95,,15388,30.55,31.838,0,30.9,,15388,,,,1530662400,,,30.1,INR,1.331457,9155,,,,322875008,,,13865,30.1,0.0,0,9155,64.0,,,11.7,0,False,,0,30.95,30.75,,https://logo.clearbit.com/tcms.bz
400 703,Technology,4000,"3i Infotech Limited provides IP based software solutions and information technology services in India, North America, the Asia Pacific, the Middle East, Africa, the Kingdom of Saudi Arabia, and South Asia. The company offers NuRe Edge that provides consolidated secure access services in one single platform; NuRe desk, a next-generation virtual desktop solution that has a virtualization engine; NuRe 3i that designs, constructs, and manages full-stack cloud solutions, including maintain crucial operational applications supporting the entire Eco-system in the cloud; and NuRe 3i+, an enterprise-grade cloud converged infrastructure that allows customers to consolidate business critical middleware and application workloads on the Oracle OCI or at the edge. It also provides MAGGIET, an integrated intelligent process automation solution; Flexib, a unique digital testing platform to accelerate QAOps for functional and Non-functional test automations in a DevOps and non-DevOps environments; Momenta, a solution with integrated AI and data science analytics platform; 3iAires Suite that digitizes enterprise's core processes to orchestrate a robust brand experience across all engagement channels; and Universo, a scheme management solution with modular and configurable options, which is developed on Open Source technologies to enable quick automation of the scheme management process right from beneficiary management to benefit disbursement and reconciliation through various intermediate processes. The company serves customers in banking, insurance, capital markets, asset and wealth management, government, manufacturing, retail, distribution, telecom, and healthcare industry verticals. 3i Infotech Limited was incorporated in 1993 and is headquartered in Navi Mumbai, India.",Navi Mumbai,91 22 7123 8000,India,[],https://www.3i-infotech.com,1,Tower # 5,Information Technology Services,3rd to 6th Floors International Infotech Park Vashi,-0.14335,0.44561002,0.06216,,-0.398,-0.15774,-932574976,,none,551700000,,,66.55,,,,,,19.627,,,2667200000,1401500032,6505500160,16.147,INR,39.384,,,NSI,3i Infotech Limited,3i Infotech Limited,Asia/Kolkata,IST,False,19800000,EQUITY,3IINFOLTD.NS,finmb_9376063,in_market,,1.493,,-10.413,-0.0082089305,,,,168124992,,,,44.223,,,,1617148800,0.0015,2479099904,3.501,15.0,0.05508423,1.5048732,0.30294,1680220800,,1640908800,,,139676654,1.303151,9710675968,2,,1630281600,1:10,,1309996800,,,1.7224742,,,,,,,,0,,,66.4,68.0,78.621,0,0,,68.5,,1606927,66.4,60.172,0,68.0,,1606927,,,,1309996800,,,66.05,INR,19.008856,561267,,,,11205556224,,,1092988,66.05,0.0,,561267,119.3,,,32.55,66.45,False,,,68.5,66.55,,https://logo.clearbit.com/3i-infotech.com
560001,Industrials,1146,"3M India Limited engages in the manufacture and trade of various products for health care, manufacturing, automotive, safety, electronics, energy, commercial solutions, transportation, and design and construction industries in India. The company operates through four segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as scotch masking tapes, scotch filament and packaging tapes, functional and decorative graphics, abrasion-resistant films, masking tapes, and other specialty materials. This segment serves industrial, electrical, and safety markets. The Health Care segment provides medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. The Transportation and Electronics segment offers personal protection products, brand and asset protection solutions, border control products, passive fire protection products for industries and commercial establishments, track and trace products, and cleaning and hygiene products for the hospitality industry. The Consumer segment provides home improvement, stationery and office supplies, home care, and consumer health care. This segment also includes retail auto care product lines, such as office supply, stationery, home improvement (do-it-yourself), home care, protective material, consumer retail personal safety, and consumer healthcare products. The company also exports its products. The company was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited operates as a subsidiary of 3M Company.",Bengaluru,91 80 2223 1414,India,[],https://www.3mindia.in,1,WeWork Prestige Central,Conglomerates,3rd floor 36 Infantry Road Tasker Town,0.0995,0.07111,0.36743,2914648064,0.218,0.08841,3136870912,,none,9920188000,1849205376,,21300,-0.144,2.978,0.06745,,,1.48,0.11847,,11867883520,296408000,31526152192,1053.433,INR,2798.463,2.234,,NSI,3M INDIA LTD,3M India Limited,Asia/Kolkata,IST,False,19800000,EQUITY,3MINDIA.NS,finmb_881351,in_market,,8.765,,88.093,,,,,11265100,,,,1778.09,,,,1617148800,0.08229,2241682944,198.985,,,11.979146,0.7648,1680220800,,1632960000,,,2610650,0.423008,276336214016,2,,,,,,,-0.144,7.6110344,,,,,,,,,,,21378.4,21232.0,24069.814,,0,,21400.0,,3393,21378.4,21357.066,,21232.0,,3393,,,,,,,21200.0,INR,107.04324,1099,,,,239946629120,,,4490,21200.0,21339.95,0,1099,27970.0,,,19374.1,0,False,,0,21400.0,21300,,https://logo.clearbit.com/3mindia.in
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSI,3P LAND HOLDINGS L,,Asia/Kolkata,IST,False,19800000,EQUITY,3PLAND.NS,,in_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,19.4,19.8,15.51125,,,,20.45,,17072,19.4,16.772,,19.8,,17072,,,,,,,19.45,INR,,9541,,,,,,,9472,19.45,19.5,0,9541,26.3,,,8.55,0,False,,0,20.45,19.5,,
400604,Financial Services,425,"5paisa Capital Limited provides an online technology platform for trading in National Stock Exchange of India Limited, BSE Limited, and MCX. It offers financial services, including online discounted stock broking, depository services; distributes mutual funds, bonds, and debentures, as well as insurance products; and provides equity and mutual fund research, investment advisory services, etc. The company provides peer-to-peer lending services through its website 5paisaloans.com; and mobile app 5Paisa Loans. It provides its services through a web-based trading terminal, mobile application, and a state of the art call and trade unit. The company serves retail investors and high-volume traders. The company was incorporated in 2007 and is headquartered in Thane, India.",Thane,91 22 4103 5000,India,[],https://www.5paisa.com,1,"IIFL House, Sun Infotech Park",Capital Markets,"Road No. 16V Plot No. B-23 Thane Industrial Area, Wagle Estate",0.0,0.06287,0.99934995,,0.616,0.084,,,none,1767850000,,,370,-0.8,,,,,79.725,,,9344668672,2929744896,2416531968,327.001,INR,85.677,,,NSI,5PAISA CAPITAL LTD,5paisa Capital Limited,Asia/Kolkata,IST,False,19800000,EQUITY,5PAISA.NS,finmb_49035295,in_market,,1.244,,,,,,,29411300,,,,126.554,,,,1617148800,0.22042,151928000,6.382,,,2.9236531,0.59189,1680220800,,1640908800,,,10684626,1.541877,3005458688,2,,,,,,,-0.767,4.513894,,,,,,,,,,,371.35,376.85,424.9975,,0,,376.85,,37015,371.35,352.127,,376.85,,37015,,,,,,,369.0,INR,57.975555,10887,,,,10907969536,,,39470,369.0,0.0,0,10887,580.0,,,293.6,0,False,,0,376.85,370,,https://logo.clearbit.com/5paisa.com
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSI,63 MOONS TECHNOLOG,,Asia/Kolkata,IST,False,19800000,EQUITY,63MOONS.NS,,in_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,283.7,285.0,167.716,,,,297.85,,74954,283.7,245.66,,285.0,,74954,,,,,,,285.0,INR,,33926,,,,,,,113147,285.0,0.0,0,33926,372.6,,,83.1,297.85,False,,0,297.85,297.85,,
122001,Industrials,6080,"A2Z Infra Engineering Limited provides engineering, procurement, construction, and facility management services in India and internationally. It operates through Engineering Service, Facility Management Services, Power Generation Projects, Municipal Solid Waste Management, and Others segments. The company offers integrated design, testing, installation, construction, and commissioning services, and telecom infrastructure projects. Its activities include rural and railway electrification, reduction of AT&C losses, and feeder renovation and segregation; underground cabling; installation of high voltage distribution system and low voltage distribution system; erection of distribution lines; renewable energy; construction of substations and transmission lines; and operation and maintenance of electric utilities. It also provides system integration of IT projects; and optical fiber cable NLD/access networking construction and maintenance, network integration, telecom infrastructure operation and maintenance, material planning and project management, radio frequency engineering, and engineering construction and infrastructure services. In addition, the company is also involved in the collection, transportation, treatment, and disposal of solid waste generated in cities. Further, it provides facility management services for corporate offices, malls, railways stations and coaches, airports, ports, other commercial establishments, monuments, and parks and beaches; operates sewage network and treatment plants, gas distribution networks, and metro projects; offers power and renewable energy generation services; and provides green toilets and environment-friendly electric power bicycles. The company was formerly known as A2Z Maintenance & Engineering Services Limited and changed its name to A2Z Infra Engineering Limited in October 2014. A2Z Infra Engineering Limited was incorporated in 2002 and is based in Gurugram, India.",Gurugram,91 12 4451 7600,India,[],https://www.a2zgroup.co.in,1,"Plot No. B-38, Sector 32",Engineering & Construction,Institutional Area Jharsa Chowk,-0.03982,-0.51114,0.15195,,-0.033,-0.05268,-156637248,,none,555999000,,,12.2,,,,,,288.223,,,99879000,4855026176,3933078016,0.567,INR,22.327,,,NSI,A2Z INFRA ENGINEER,A2Z Infra Engineering Limited,Asia/Kolkata,IST,False,19800000,EQUITY,A2ZINFRA.NS,finmb_36827660,in_market,,1.613,,-40.506,,,,,176120000,,,,9.897,,,,1617148800,0,-2010336000,-12.183,,,1.2326968,0.34208,1680220800,,1640908800,,,106619697,0.944021,6344678400,2,,,,,,,,0.55208486,,,,,,,,,,,11.75,11.55,7.35375,,0,,12.3,,658911,11.75,10.366,,11.55,,658911,,,,1316649600,,,11.55,INR,,1134676,,,,2171392768,,,761461,11.55,0.0,0,1134676,14.1,,,3.6,0,False,,0,12.3,12.2,,https://logo.clearbit.com/a2zgroup.co.in
380005,Energy,963,"Aakash Exploration Services Limited provides support services for oil and gas extraction in India. It offers services using machineries, such as mobile work over rigs, hot oil circulation units, heating units, indirect bath heaters, mobile sucker rod pumping units, utility services for return lines, mobile steaming units, mobile high pressure air compressors, mobile high and low pressure pumping units, and FRAC/ insulated tanks. The company was incorporated in 2007 and is headquartered in Ahmedabad, India.",Ahmedabad,91 79 4800 6633,India,[],https://www.aakashexploration.com,1,Shukan Mall,Oil & Gas Equipment & Services,"424-426, 4th Floor Near Visat Petrol Pump Sabarmati",0.21799,0.085039996,0.92856,164254048,0.113,0.124230005,140776048,,none,557507588,-22821420,,27.6,0.634,1.505,0.07509,,,40.564,0.13146,,16014000,180135008,645796160,1.58,INR,63.41,1.467,,NSI,AAKASH EXPLORATION,Aakash Exploration Services Limited,Asia/Kolkata,IST,False,19800000,EQUITY,AAKASH.NS,finmb_548707659,in_market,,4.281,,19.638,,,,,10125000,,,,43.819,,,,1617148800,,54917416,5.392,,,0.62986374,,1680220800,,1632960000,,,3084991,1.788605,2764589568,2,,1643846400,10:1,,,,0.673,0.4327217,,,,,,,,,,,28.05,28.0,24.8338,,0,,28.0,,746461,28.05,27.9981,,28.0,,746461,,,,,,,27.45,INR,5.1186943,416921,,,,279450016,,,1062203,27.45,0.0,,416921,33.8,,,13.12,27.85,False,,,28.0,27.6,,https://logo.clearbit.com/aakashexploration.com
400009,Healthcare,,"Aarey Drugs & Pharmaceuticals Limited manufactures and sells active pharmaceutical ingredients, bulk drugs, intermediates, and specialty chemicals for various industrial applications in India. The company provides mono methyl and die methyl urea, ortho para nitro anisole, 2 bromomethyl 1,3 dioxalane, uracile and active pharma ingredients, such as metformin HCL, mefenamic acid, and doxophylline. It also offers chemicals and solvents, which include aeromatics chemicals, chemical acids, chlor alkalies, glycols and glycol ethers, fiber intermediates, acetates and esters, and chlorinated solvents, as well as industrial alchols, ketones, amines, oleochemicals, intermediates, olefines, phosphates, fertilizers, monomers, and chemicals. The company's pharmaceutical products are used by pharmaceutical formulation manufacturers and pharmaceutical merchant exporters. It also trades in industrial solvents and chemicals. Aarey Drugs & Pharmaceuticals Limited was incorporated in 1990 and is headquartered in Mumbai, India.",Mumbai,91 22 6287 2999,India,[],https://www.aareydrugs.com,1,"1227, Hubtown Solaris",Drug Manufacturers—Specialty & Generic,"12th Floor N.S. Phadke Marg, Opp-Telli Galli Andheri Flyover Bridge, Andheri East",0.021470001,0.015829999,0.03178,,0.444,0.01976,118072456,,none,136174449,,,46.4,0.054,,,,,21.712,,,1171000,226266000,5499336704,0.046,INR,220.993,,,NSI,Aarey Drugs & Pharm Ltd,Aarey Drugs & Pharmaceuticals Limited,Asia/Kolkata,IST,False,19800000,EQUITY,AAREYDRUGS.NS,finmb_22038352,in_market,,0.268,,12.495,,,,,25384700,,,,44.565,,,,1617148800,0,87068064,3.619,,,1.0411758,0.49236,1680220800,,1640908800,,,11270800,1.283922,1475290624,2,,,,,,,0.144,0.2151026,,,,,,,,,,,46.15,46.7,41.470856,,0,,47.3,,141896,46.15,44.819,,46.7,,141896,,,,,,,46.0,INR,12.821222,56791,,,,1182921600,,,141560,46.0,46.4,,56791,64.35,,,31.15,0,False,,,47.3,46.4,,https://logo.clearbit.com/aareydrugs.com
